model,task,metric,mean,ic 2.5%,ic 97.5%,pearson_r,pearson_r IC 2.5%,pearson_r IC 97.5%
MLP,DMT2,auc_roc,0.5822,0.5202,0.6465,,,
MLP,sf36,rmse,8.6124,8.0206,9.1886,0.3443,0.2471,0.4367
MLP,sedentary,rmse,1.3302,1.234,1.4264,0.3381,0.2631,0.4159
MLP,bdi,rmse,6.986,6.3326,7.8255,0.2326,0.1243,0.3357
MLP,mmse,rmse,2.1056,1.8811,2.3289,0.1732,0.0801,0.2705
MLP,chair_stand,rmse,5.3758,4.9832,5.7806,0.2995,0.2118,0.3815
CNN,DMT2,auc_roc,0.597,0.529,0.662,,,
CNN,sf36,rmse,8.6497,8.0778,9.2495,0.338,0.2471,0.4275
CNN,sedentary,rmse,1.276,1.1679,1.3809,0.4106,0.3449,0.4768
CNN,bdi,rmse,6.9894,6.3247,7.814,0.229,0.1161,0.3428
CNN,mmse,rmse,2.0639,1.8586,2.2714,0.2288,0.1442,0.3074
CNN,chair_stand,rmse,5.3518,4.9387,5.7712,0.3042,0.223,0.3803
GRU,DMT2,auc_roc,0.6043,0.5416,0.6629,,,
GRU,sf36,rmse,8.7184,8.1168,9.3045,0.3258,0.2331,0.4185
GRU,sedentary,rmse,1.3041,1.2005,1.4108,0.3602,0.2909,0.4312
GRU,bdi,rmse,6.9362,6.3089,7.7098,0.2453,0.144,0.3522
GRU,mmse,rmse,2.0821,1.8685,2.2972,0.196,0.1013,0.2925
GRU,chair_stand,rmse,5.3868,4.9693,5.816,0.2812,0.192,0.3589
