channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,12,0.3,0.0015,5.562208739194003,20,28
64,12,0.4,0.001,5.5641255378723145,18,26
64,12,0.3,0.0001,5.564281030134722,14,22
64,5,0.3,0.0015,5.570099353790283,20,28
64,12,0.3,0.0015,5.571828972209584,21,29
64,4,0.3,0.0015,5.573311198841441,21,29
64,4,0.4,0.0015,5.573530240492388,14,22
64,5,0.4,0.0015,5.574115449732,20,28
64,12,0.4,0.0015,5.57576305216009,18,26
64,5,0.3,0.001,5.575921058654785,20,28
64,4,0.3,0.001,5.576992078260942,21,29
64,12,0.5,0.0001,5.57744719765403,18,26
64,5,0.3,0.0001,5.578097646886652,13,21
128,8,0.3,0.001,5.578359517184171,15,23
64,5,0.4,0.001,5.578404599970037,18,26
64,4,0.4,0.001,5.580932010303844,21,29
64,4,0.5,0.0015,5.581094048239968,21,29
64,12,0.3,0.001,5.581144766374067,9,17
128,5,0.3,0.0015,5.581392938440496,16,24
64,5,0.4,0.0001,5.581977454098788,16,24
64,5,0.5,0.0015,5.582243962721392,26,34
128,12,0.3,0.001,5.582640041004527,20,28
64,5,0.5,0.001,5.583023374730891,26,34
128,3,0.3,0.001,5.583364313299006,19,27
128,5,0.3,0.0001,5.5841756733981045,16,24
128,8,0.3,0.0015,5.584292888641357,15,23
128,12,0.3,0.0001,5.584801977330988,13,21
32,4,0.3,0.0015,5.584914250807329,30,38
64,12,0.5,0.0015,5.5863901051608,25,33
128,8,0.5,0.0001,5.586635112762451,15,23
128,5,0.3,0.001,5.586859096180309,16,24
128,5,0.4,0.001,5.587069901553067,16,24
64,3,0.3,0.0015,5.587143898010254,21,29
128,3,0.5,0.0001,5.58714450489391,19,27
128,8,0.5,0.0015,5.587908961556175,12,20
128,3,0.5,0.001,5.588167363947088,19,27
64,8,0.3,0.0015,5.588170875202525,30,38
64,12,0.4,0.0001,5.588357752019709,21,29
128,5,0.5,0.001,5.588551954789595,9,17
128,5,0.5,0.0015,5.58915394002741,15,23
32,8,0.5,0.0001,5.589924248782071,22,30
128,8,0.4,0.0015,5.5903801484541455,18,26
128,3,0.5,0.0015,5.59038105877963,19,27
128,3,0.3,0.0015,5.590628147125244,19,27
64,4,0.3,0.0001,5.590656280517578,16,24
128,5,0.4,0.0015,5.590978362343528,15,23
64,3,0.3,0.001,5.592068802226674,21,29
128,3,0.4,0.0001,5.592652234164151,22,30
128,24,0.4,0.0015,5.5930540344931865,20,28
64,4,0.5,0.0001,5.593521638350054,14,22
128,5,0.5,0.0001,5.593604998155073,15,23
128,5,0.4,0.0001,5.593886938962069,16,24
128,8,0.3,0.0001,5.594043558294123,15,23
128,2,0.3,0.0015,5.594885435971347,18,26
64,3,0.4,0.0015,5.595025062561035,21,29
64,12,0.5,0.001,5.595768798481334,9,17
64,4,0.4,0.0001,5.596094998446378,14,22
128,12,0.5,0.0015,5.596267266706987,20,28
128,24,0.3,0.0015,5.596273985776034,10,18
32,8,0.5,0.0015,5.596363847905939,22,30
128,12,0.5,0.001,5.597239060835405,10,18
64,4,0.5,0.001,5.59754653410478,14,22
128,24,0.3,0.001,5.597859859466553,10,18
32,12,0.3,0.0015,5.59860576282848,17,25
128,3,0.4,0.001,5.598709279840643,10,18
32,24,0.5,0.0015,5.598963997580788,22,30
64,8,0.5,0.001,5.599149183793501,16,24
64,5,0.5,0.0001,5.600419304587624,16,24
128,2,0.4,0.0015,5.600454503839666,18,26
128,24,0.4,0.001,5.600682865489613,10,18
128,8,0.4,0.001,5.601159399205988,18,26
128,8,0.5,0.001,5.601160179484975,15,23
32,5,0.3,0.0015,5.601160569624468,21,29
32,5,0.4,0.0015,5.601874741640958,21,29
64,3,0.3,0.0001,5.6020307540893555,14,22
32,12,0.4,0.0015,5.6021458452398125,17,25
32,12,0.3,0.001,5.602461858229204,17,25
128,2,0.4,0.001,5.602815931493586,18,26
128,12,0.4,0.0015,5.603263811631636,20,28
128,3,0.4,0.0015,5.60332627729936,10,18
32,5,0.5,0.0015,5.60388200933283,12,20
128,24,0.5,0.0001,5.6040404493158515,10,18
32,5,0.3,0.0001,5.604201490228826,6,14
32,8,0.5,0.001,5.60439716685902,22,30
32,4,0.4,0.0015,5.605349670756947,15,23
128,12,0.4,0.0001,5.6056976751847705,10,18
32,8,0.4,0.0001,5.606323632326993,18,26
128,4,0.3,0.0015,5.606898654590953,21,29
128,12,0.4,0.001,5.606932770122182,17,25
32,8,0.3,0.0015,5.60709792917425,13,21
32,8,0.4,0.0015,5.6071461764248935,13,21
64,8,0.3,0.0001,5.607468691739169,16,24
128,2,0.3,0.001,5.607534061778676,18,26
128,4,0.3,0.001,5.607547153126109,8,16
32,8,0.3,0.001,5.607919649644331,13,21
