hidden_dim,num_layers,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,4,0.3,1.5e-05,5.591892329129306,40,48
64,6,0.1,1.5e-05,5.60592794418335,37,45
128,4,0.2,0.0001,5.607201706279408,42,50
64,6,0.2,1.5e-05,5.608143633062189,44,52
64,4,0.1,0.0001,5.6118153658780185,42,50
128,4,0.2,1.5e-05,5.61357931657271,24,32
128,3,0.2,1.5e-05,5.624821359461004,44,52
128,5,0.3,1.5e-05,5.628839102658358,19,27
128,4,0.1,0.0001,5.63110689683394,26,34
64,4,0.1,1.5e-05,5.639551769603383,38,46
64,3,0.2,1.5e-05,5.6424570950594815,18,26
64,4,0.3,1.5e-05,5.646203127774325,29,37
64,5,0.2,1.5e-05,5.648822047493675,42,50
64,4,0.2,1.5e-05,5.650367866862904,29,37
128,3,0.3,1.5e-05,5.651804317127574,18,26
64,5,0.3,1.5e-05,5.6543403538790615,25,33
128,2,0.1,0.0001,5.654690395702016,21,29
64,2,0.2,0.0001,5.659684181213379,49,57
64,3,0.1,1.5e-05,5.661400058052757,18,26
64,3,0.2,0.0001,5.666287638924339,24,32
128,2,0.1,1.5e-05,5.670240662314675,19,27
128,3,0.1,1.5e-05,5.671155149286443,24,32
64,3,0.3,1.5e-05,5.671950080178001,35,43
128,2,0.2,1.5e-05,5.674210158261386,29,37
64,2,0.1,1.5e-05,5.674682703885165,35,43
128,2,0.3,1.5e-05,5.675641016526655,19,27
64,4,0.3,0.0001,5.682204073125666,19,27
64,3,0.1,0.0001,5.6888258673928,36,44
64,2,0.2,1.5e-05,5.691952748732134,17,25
128,2,0.2,0.0001,5.693545341491699,21,29
64,2,0.1,0.0001,5.697669636119496,37,45
64,5,0.2,0.0001,5.698787645860151,25,33
128,5,0.1,0.001,5.700067866932262,22,30
128,2,0.3,0.0001,5.7001237002286045,21,29
64,2,0.1,0.001,5.7027342102744365,20,28
128,3,0.2,0.0001,5.7032790184021,21,29
128,3,0.3,0.0001,5.70541915026578,18,26
64,5,0.3,0.0001,5.707401622425426,12,20
64,2,0.3,0.0001,5.709112210707231,16,24
64,3,0.3,0.0001,5.711319359866056,14,22
128,2,0.3,0.001,5.715329300273549,21,29
64,3,0.3,0.001,5.71674108505249,14,22
128,2,0.2,0.001,5.717226852070201,27,35
128,3,0.3,0.001,5.720424608750776,25,33
64,2,0.2,0.001,5.72240586714311,18,26
64,2,0.3,1.5e-05,5.723031174052846,19,27
64,5,0.1,0.0001,5.726870103315874,14,22
128,6,0.1,1.5e-05,5.727609721097079,10,18
64,6,0.2,0.001,5.727821263399991,38,46
128,4,0.3,0.001,5.728158040480181,37,45
64,3,0.1,0.001,5.72875993902033,26,34
64,2,0.3,0.001,5.729440775784579,27,35
64,6,0.3,0.0001,5.730498964136297,14,22
64,5,0.1,1.5e-05,5.730999513105913,12,20
128,6,0.2,0.0001,5.7311412637883965,12,20
64,4,0.3,0.001,5.732006939974698,31,39
128,4,0.1,0.001,5.732382904399525,23,31
128,6,0.3,1.5e-05,5.732592886144465,13,21
64,4,0.2,0.001,5.736804138530385,19,27
128,2,0.1,0.001,5.73752533305775,25,33
128,3,0.1,0.0001,5.737896832552823,11,19
128,6,0.1,0.0001,5.737964196638628,12,20
128,5,0.1,1.5e-05,5.7410101890563965,7,15
64,5,0.3,0.001,5.741188352758234,35,43
128,6,0.2,1.5e-05,5.74380536512895,15,23
128,5,0.2,0.001,5.745670101859353,22,30
64,4,0.2,0.0001,5.746580123901367,10,18
128,5,0.2,0.0001,5.747851848602295,9,17
128,4,0.2,0.001,5.752545573494651,15,23
64,6,0.3,1.5e-05,5.753937634554776,12,20
64,6,0.1,0.0001,5.754246321591464,14,22
128,5,0.1,0.0001,5.767573139884255,9,17
128,5,0.3,0.0001,5.768964117223566,10,18
64,5,0.1,0.001,5.771775072271174,16,24
128,3,0.1,0.001,5.773738470944491,14,22
128,5,0.2,1.5e-05,5.776883818886497,6,14
64,5,0.2,0.001,5.77720121903853,16,24
64,6,0.2,0.0001,5.778524442152544,10,18
128,6,0.3,0.0001,5.782207185571844,24,32
64,4,0.1,0.001,5.786403482610529,16,24
128,4,0.3,0.0001,5.798136017539284,8,16
128,3,0.2,0.001,5.7989842241460625,11,19
128,5,0.3,0.001,5.805922291495583,9,17
64,3,0.2,0.001,5.811783097007058,8,16
64,6,0.1,0.001,5.8183605020696465,11,19
64,6,0.3,0.001,5.826238545504483,11,19
128,4,0.1,1.5e-05,5.829593311656605,5,13
128,6,0.2,0.001,5.864333933049982,11,19
128,6,0.3,0.001,5.865264762531627,11,19
128,6,0.1,0.001,5.8663200031627305,11,19
