hidden_dim,rep_dim,dropout,weight_decay,val_loss,best_epoch,epochs_run
64,64,0.5,0.0001,5.728494600816206,19,27
64,64,0.3,1e-05,5.729459199038419,11,19
128,32,0.5,1e-05,5.730447075583718,20,28
64,32,0.5,1e-05,5.7308479222384365,25,33
64,64,0.5,0.001,5.747092160311612,13,21
128,32,0.5,0.001,5.748416120355779,14,22
64,64,0.4,1e-05,5.750375487587669,11,19
128,128,0.4,0.001,5.750568476590243,11,19
128,64,0.4,0.001,5.752082911404696,10,18
64,128,0.3,1e-05,5.7549661289561875,9,17
128,64,0.3,0.001,5.755948456850919,8,16
128,32,0.3,1e-05,5.7562526789578525,8,16
128,64,0.4,0.0001,5.757217754017223,6,14
64,128,0.5,0.001,5.758413488214666,20,28
64,128,0.3,0.001,5.7587784853848545,9,17
128,32,0.4,0.001,5.759083140980113,10,18
128,128,0.3,0.001,5.761142730712891,7,15
128,32,0.5,0.0001,5.761431477286599,12,20
64,128,0.3,0.0001,5.762615420601585,9,17
128,64,0.5,0.001,5.7628960175947705,12,20
64,64,0.4,0.001,5.763900366696444,14,22
128,64,0.5,0.0001,5.765209284695712,12,20
128,32,0.4,1e-05,5.766267819838091,10,18
128,64,0.3,0.0001,5.767729889262807,8,16
128,32,0.4,0.0001,5.771194761449641,10,18
64,64,0.3,0.001,5.771541335365989,9,17
64,64,0.5,1e-05,5.772647944363681,12,20
64,64,0.4,0.0001,5.772679155523127,7,15
128,64,0.4,1e-05,5.773224743929776,6,14
64,32,0.3,1e-05,5.774496598677202,9,17
64,128,0.5,1e-05,5.774588584899902,14,22
64,32,0.4,0.0001,5.776427832516757,11,19
128,128,0.5,1e-05,5.776473392139781,21,29
128,128,0.5,0.0001,5.777236374941739,11,19
64,128,0.5,0.0001,5.777934681285512,10,18
64,64,0.3,0.0001,5.778611443259499,9,17
64,128,0.4,0.001,5.778624534606934,11,19
64,128,0.4,1e-05,5.778799620541659,9,17
64,32,0.5,0.0001,5.779362245039507,13,21
128,32,0.3,0.001,5.78035493330522,8,16
64,32,0.5,0.001,5.782954129305753,17,25
64,32,0.3,0.0001,5.78395769812844,6,14
128,64,0.3,1e-05,5.784590461037376,5,13
64,32,0.4,0.001,5.785186247392134,8,16
128,64,0.5,1e-05,5.785706433382901,7,15
64,32,0.3,0.001,5.786088249900124,9,17
128,128,0.4,0.0001,5.786891633814031,8,16
128,32,0.3,0.0001,5.787290313027122,9,17
128,128,0.4,1e-05,5.7873876745050605,11,19
64,128,0.4,0.0001,5.789757381786,10,18
64,32,0.4,1e-05,5.789997404271906,9,17
128,128,0.3,1e-05,5.803143718025901,6,14
128,128,0.3,0.0001,5.810565081509677,7,15
128,128,0.5,0.001,5.813367540186102,12,20
