model,task,metric,mean,ic 2.5%,ic 97.5%,pearson_r,pearson_r IC 2.5%,pearson_r IC 97.5%
MLP,DMT2,auc_roc,0.5229,0.459,0.5861,,,
MLP,sf36,rmse,8.5297,7.8172,9.2067,0.3185,0.2117,0.414
MLP,sedentary,rmse,1.2701,1.1505,1.3955,0.248,0.1363,0.352
MLP,bdi,rmse,7.1026,6.2759,8.1031,0.2987,0.1863,0.4026
MLP,mmse,rmse,1.9101,1.66,2.1823,0.2364,0.1339,0.3409
MLP,chair_stand,rmse,5.9178,5.3148,6.5042,0.1854,0.0825,0.2918
CNN,DMT2,auc_roc,0.5633,0.5,0.6262,,,
CNN,sf36,rmse,8.4656,7.7962,9.1574,0.3354,0.2158,0.4312
CNN,sedentary,rmse,1.1927,1.0746,1.3157,0.4116,0.3184,0.4965
CNN,bdi,rmse,7.2089,6.36,8.2431,0.2606,0.1537,0.367
CNN,mmse,rmse,1.898,1.6669,2.1621,0.2589,0.1516,0.3639
CNN,chair_stand,rmse,5.8871,5.325,6.4364,0.2177,0.1187,0.3117
GRU,DMT2,auc_roc,0.5643,0.5028,0.6229,,,
GRU,sf36,rmse,8.353,7.6449,9.0422,0.3682,0.27,0.4602
GRU,sedentary,rmse,1.2107,1.0945,1.3308,0.385,0.2955,0.4715
GRU,bdi,rmse,7.1873,6.3289,8.2412,0.2591,0.1546,0.3623
GRU,mmse,rmse,1.9091,1.6786,2.1714,0.2276,0.1165,0.3366
GRU,chair_stand,rmse,5.9211,5.3479,6.4823,0.1845,0.0813,0.2872
