channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,12,0.5,0.0015,5.815309251559928,7,15
128,12,0.5,0.0001,5.821298228982886,7,15
128,12,0.4,0.0015,5.822490096237424,7,15
128,12,0.3,0.001,5.823989349509273,7,15
128,12,0.4,0.001,5.826134259750143,7,15
64,4,0.3,0.001,5.828303743657473,9,17
128,12,0.4,0.0001,5.831791532460723,7,15
128,4,0.3,0.0015,5.834129211528002,7,15
64,4,0.3,0.0015,5.8343399320246965,9,17
128,12,0.3,0.0015,5.8359414267917495,7,15
128,4,0.4,0.0001,5.836490206538397,7,15
128,4,0.4,0.001,5.836754846514796,7,15
128,12,0.3,0.0001,5.839087152016439,7,15
128,4,0.5,0.0015,5.839447271809363,7,15
128,4,0.4,0.0015,5.839564580139085,7,15
128,4,0.3,0.001,5.839903051466948,7,15
128,4,0.5,0.001,5.840670622803552,9,17
64,5,0.3,0.0001,5.8407396852026325,9,17
128,12,0.5,0.001,5.84088245291948,7,15
64,4,0.4,0.0015,5.842704834804465,10,18
128,5,0.3,0.0015,5.843446269831036,5,13
64,3,0.4,0.001,5.844211842633339,5,13
64,4,0.3,0.0001,5.844352795348824,9,17
64,3,0.4,0.0015,5.845268056685974,5,13
64,8,0.4,0.0015,5.845439418950702,6,14
64,3,0.5,0.0015,5.845653585045985,5,13
64,4,0.4,0.001,5.846441642956379,9,17
64,3,0.3,0.001,5.846498161808436,5,13
64,3,0.3,0.0015,5.846738186881545,5,13
64,3,0.5,0.001,5.84786392913521,5,13
64,4,0.5,0.0015,5.848145493055522,7,15
64,3,0.3,0.0001,5.850367431663857,5,13
128,4,0.3,0.0001,5.850393981213402,7,15
64,3,0.4,0.0001,5.8504548392255185,5,13
128,5,0.3,0.0001,5.850866375538667,5,13
128,5,0.3,0.001,5.851403629591055,11,19
64,4,0.5,0.001,5.853403163449918,7,15
32,5,0.3,0.001,5.854237766707278,4,12
32,5,0.3,0.0015,5.854253280467732,4,12
32,5,0.4,0.0015,5.854375519793159,4,12
32,8,0.3,0.0015,5.854433163655661,19,27
