hidden_dim,num_layers,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,4,0.2,1.5e-05,5.821561448611818,10,18
128,5,0.2,1.5e-05,5.840927958633665,14,22
128,4,0.1,1.5e-05,5.841823940881132,10,18
128,4,0.3,0.0001,5.8453572385929675,10,18
128,4,0.2,0.0001,5.850338205205102,10,18
64,4,0.2,0.0001,5.854935136114346,17,25
64,5,0.1,1.5e-05,5.857008041911526,13,21
64,6,0.3,1.5e-05,5.857517509019041,29,37
128,4,0.1,0.0001,5.858697679243193,10,18
128,5,0.3,0.0001,5.8595348037552455,27,35
64,6,0.1,1.5e-05,5.859912523253391,18,26
128,5,0.1,1.5e-05,5.860340757288683,14,22
128,3,0.1,0.0001,5.863415359724744,11,19
128,2,0.1,1.5e-05,5.86445494836489,7,15
64,6,0.1,0.0001,5.864900922368708,18,26
64,5,0.3,1.5e-05,5.865209394192434,13,21
128,3,0.3,0.0001,5.865652016396935,17,25
128,5,0.1,0.0001,5.870561362184067,15,23
128,6,0.3,1.5e-05,5.872924401031197,21,29
64,5,0.2,0.0001,5.873307440080538,10,18
64,6,0.2,0.0001,5.873781338098134,14,22
64,3,0.1,0.0001,5.875721650930909,12,20
64,4,0.3,1.5e-05,5.877367966938832,17,25
128,5,0.3,1.5e-05,5.877956384572855,14,22
128,2,0.2,1.5e-05,5.878573755399028,14,22
128,3,0.1,1.5e-05,5.879181040625625,10,18
64,5,0.2,1.5e-05,5.879746605504881,12,20
64,3,0.1,1.5e-05,5.879786394981171,9,17
128,3,0.2,1.5e-05,5.880806101660781,20,28
128,6,0.2,1.5e-05,5.8813793151009826,21,29
128,2,0.2,0.0001,5.881398171948748,8,16
128,2,0.3,1.5e-05,5.884127208579618,22,30
128,2,0.1,0.0001,5.884158507624729,14,22
64,4,0.1,0.0001,5.885150016733557,11,19
64,3,0.3,1.5e-05,5.88516606134561,11,19
128,3,0.2,0.001,5.885446363186575,17,25
64,6,0.2,1.5e-05,5.885490747955917,14,22
128,3,0.1,0.001,5.8879625236799304,19,27
64,3,0.3,0.0001,5.888299989061437,12,20
128,3,0.3,1.5e-05,5.8883985659962885,13,21
64,6,0.2,0.001,5.888588375644475,22,30
128,5,0.2,0.0001,5.888663001530934,28,36
64,3,0.2,1.5e-05,5.889235092864693,11,19
128,2,0.2,0.001,5.889882325254898,14,22
64,6,0.3,0.0001,5.893194976590583,10,18
64,3,0.2,0.001,5.8959379283287054,16,24
128,2,0.3,0.0001,5.896659111134463,7,15
128,3,0.3,0.001,5.896679090088671,6,14
128,4,0.3,1.5e-05,5.897210948214607,11,19
64,2,0.3,0.0001,5.899047619823126,19,27
64,4,0.2,1.5e-05,5.900164214179519,5,13
64,5,0.3,0.0001,5.901699925165954,13,21
64,2,0.1,1.5e-05,5.903490453051011,6,14
64,2,0.2,0.0001,5.90503088158899,12,20
64,5,0.3,0.001,5.905919002992953,9,17
64,4,0.1,1.5e-05,5.906699633046567,5,13
64,2,0.3,1.5e-05,5.906966674632771,6,14
64,4,0.3,0.0001,5.907261441889402,20,28
64,3,0.3,0.001,5.908679605546736,16,24
64,2,0.2,1.5e-05,5.9091575645209815,19,27
64,2,0.1,0.001,5.910236049656746,12,20
128,3,0.2,0.0001,5.9102768276553785,9,17
64,3,0.2,0.0001,5.911806239570683,11,19
64,2,0.1,0.0001,5.912280096641847,6,14
64,3,0.1,0.001,5.912535830624356,6,14
128,2,0.3,0.001,5.913495970411219,21,29
64,5,0.1,0.0001,5.914723242969955,12,20
64,6,0.3,0.001,5.915872302909135,8,16
128,2,0.1,0.001,5.916715532504975,11,19
128,4,0.2,0.001,5.916966663644026,10,18
128,6,0.1,1.5e-05,5.919255383267327,21,29
64,2,0.3,0.001,5.923450230680923,8,16
64,6,0.1,0.001,5.929937957410545,7,15
64,2,0.2,0.001,5.930311239593357,8,16
128,6,0.2,0.0001,5.932453922174154,8,16
128,5,0.1,0.001,5.9343715260002705,7,15
64,5,0.2,0.001,5.937013656881056,9,17
128,5,0.3,0.001,5.937040330141093,8,16
128,6,0.1,0.001,5.938215469471865,11,19
128,6,0.2,0.001,5.939755751067334,15,23
64,4,0.1,0.001,5.94342682654907,8,16
64,4,0.2,0.001,5.948099134029337,5,13
128,4,0.3,0.001,5.9491899289399495,10,18
64,5,0.1,0.001,5.953421504430736,9,17
128,6,0.3,0.001,5.955530947802563,11,19
128,6,0.1,0.0001,5.957054774740872,13,21
128,5,0.2,0.001,5.958653720955611,10,18
128,6,0.3,0.0001,5.961255000366508,13,21
128,4,0.1,0.001,5.963387390001973,10,18
64,4,0.3,0.001,5.971505309719406,5,13
