hidden_dim,rep_dim,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,32,0.4,0.001,5.861122629674431,9,17
64,32,0.5,0.0001,5.863530417452776,13,21
64,64,0.3,0.001,5.863894534023903,10,18
128,32,0.4,0.0001,5.864397364324832,9,17
64,128,0.4,0.001,5.864467363555016,8,16
64,128,0.5,0.001,5.865134774113979,14,22
64,64,0.4,0.001,5.866816279077937,6,14
64,64,0.3,1e-05,5.8687386466292315,10,18
64,32,0.3,1e-05,5.868881984111307,6,14
64,32,0.3,0.001,5.868942641747274,9,17
64,64,0.4,0.0001,5.869396515217827,7,15
64,32,0.4,0.001,5.870217792589975,9,17
64,64,0.5,0.0001,5.870329170366443,9,17
128,128,0.4,0.0001,5.871547364433558,7,15
64,64,0.5,1e-05,5.87371274992261,9,17
64,64,0.4,1e-05,5.8741937891719695,6,14
64,32,0.4,0.0001,5.874238949890694,9,17
64,32,0.5,1e-05,5.874624423655464,8,16
128,128,0.4,0.001,5.874907977978872,5,13
64,64,0.3,0.0001,5.8751113051764134,9,17
64,128,0.3,0.0001,5.875200979602178,6,14
64,128,0.3,1e-05,5.8756763142296515,4,12
64,32,0.5,0.001,5.876362498001117,12,20
128,128,0.4,1e-05,5.878527620387571,5,13
128,64,0.5,0.0001,5.878908567393741,12,20
128,32,0.3,1e-05,5.8796970492884535,3,11
64,64,0.5,0.001,5.882616941008295,7,15
128,32,0.5,0.001,5.882856169223205,8,16
64,32,0.4,1e-05,5.883507565952538,10,18
128,128,0.5,0.001,5.88437457438944,5,13
128,32,0.3,0.0001,5.884980077429898,3,11
64,32,0.3,0.0001,5.885860494806473,6,14
128,32,0.5,0.0001,5.886335731278674,10,18
64,128,0.3,0.001,5.886570230035631,8,16
64,128,0.5,0.0001,5.887156167651791,8,16
128,128,0.3,0.0001,5.888072211327128,5,13
128,32,0.3,0.001,5.88840676806005,3,11
64,128,0.4,1e-05,5.888927653704142,10,18
128,32,0.4,1e-05,5.891122041462981,9,17
128,128,0.5,1e-05,5.89113690995415,7,15
128,128,0.3,0.001,5.8914468703693945,6,14
128,64,0.4,0.001,5.891517365603151,10,18
128,128,0.5,0.0001,5.892346340904282,10,18
64,128,0.5,1e-05,5.893127476254276,8,16
128,64,0.4,1e-05,5.8947280269302205,5,13
128,32,0.5,1e-05,5.896742649984418,13,21
128,128,0.3,1e-05,5.901474354473304,8,16
64,128,0.4,0.0001,5.902003352157091,5,13
128,64,0.5,1e-05,5.9036112093025235,6,14
128,64,0.5,0.001,5.90414762148468,6,14
128,64,0.4,0.0001,5.905972325119409,5,13
128,64,0.3,0.0001,5.917849620280109,4,12
128,64,0.3,0.001,5.91962217035886,6,14
128,64,0.3,1e-05,5.9319523405941625,4,12
