model,task,metric,mean,ic 2.5%,ic 97.5%,pearson_r,pearson_r IC 2.5%,pearson_r IC 97.5%
MLP,DMT2,auc_roc,0.6169,0.5553,0.6753,,,
MLP,sf36,rmse,8.1328,7.4737,8.8588,0.3355,0.2325,0.4335
MLP,sedentary,rmse,1.364,1.2701,1.4565,0.3709,0.277,0.4588
MLP,bdi,rmse,6.4869,5.9735,7.0607,0.2266,0.1307,0.3231
MLP,mmse,rmse,2.002,1.6073,2.5907,0.15,0.0446,0.2451
MLP,chair_stand,rmse,5.4963,5.0121,5.978,0.2732,0.1901,0.3554
CNN,DMT2,auc_roc,0.6456,0.5802,0.7065,,,
CNN,sf36,rmse,7.9842,7.324,8.6876,0.3469,0.242,0.4431
CNN,sedentary,rmse,1.3174,1.2186,1.4135,0.4333,0.358,0.5051
CNN,bdi,rmse,6.5313,5.9672,7.1682,0.2057,0.1134,0.2963
CNN,mmse,rmse,1.9931,1.6085,2.5886,0.1825,0.0899,0.2915
CNN,chair_stand,rmse,5.4531,4.9894,5.9336,0.2838,0.198,0.3707
GRU,DMT2,auc_roc,0.6306,0.5637,0.6921,,,
GRU,sf36,rmse,7.963,7.3005,8.6714,0.3489,0.2506,0.4399
GRU,sedentary,rmse,1.3279,1.232,1.4236,0.4278,0.3504,0.5001
GRU,bdi,rmse,6.49,5.9071,7.1516,0.1986,0.1076,0.2924
GRU,mmse,rmse,2.0057,1.6215,2.5791,0.1528,0.0486,0.2429
GRU,chair_stand,rmse,5.5059,5.0226,6.0089,0.2573,0.1712,0.3429
