channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,5,0.3,0.0001,5.663918928666548,13,21
128,5,0.4,0.001,5.665431282737038,13,21
128,5,0.3,0.0015,5.666901198300448,13,21
128,5,0.4,0.0001,5.669468402862549,13,21
128,4,0.4,0.001,5.6710098006508565,27,35
128,5,0.4,0.0015,5.671482953158292,13,21
128,4,0.3,0.0015,5.672988718206232,15,23
128,5,0.3,0.001,5.673616019162265,13,21
128,4,0.3,0.001,5.673749967054888,19,27
128,4,0.5,0.0015,5.678815538232977,25,33
128,5,0.5,0.0015,5.680546587163752,13,21
128,4,0.4,0.0001,5.680729735981334,15,23
128,5,0.5,0.0001,5.681170203469017,13,21
128,4,0.4,0.0015,5.681570529937744,15,23
128,4,0.5,0.001,5.681762782010165,19,27
128,2,0.3,0.0015,5.682651476426558,19,27
128,5,0.5,0.001,5.68371430310336,13,21
64,4,0.3,0.0015,5.683746337890625,25,33
64,4,0.3,0.0001,5.684738549319181,18,26
64,3,0.4,0.0015,5.686211282556707,29,37
128,4,0.3,0.0001,5.686912189830434,17,25
128,3,0.3,0.0001,5.689127618616277,22,30
128,4,0.5,0.0001,5.689366687427867,25,33
128,3,0.4,0.001,5.690485694191673,22,30
64,4,0.4,0.0015,5.690738114443692,18,26
128,2,0.4,0.0015,5.692556944760409,19,27
32,4,0.3,0.0001,5.6936281811107285,20,28
128,3,0.3,0.0015,5.693870154294101,22,30
64,5,0.3,0.001,5.694100423292681,20,28
128,3,0.5,0.0015,5.694464206695557,22,30
32,3,0.3,0.001,5.694485490972346,32,40
32,4,0.4,0.001,5.694556669755415,20,28
128,3,0.4,0.0015,5.695927359841087,22,30
64,4,0.3,0.001,5.696583401073109,18,26
32,4,0.4,0.0015,5.697577953338623,20,28
128,2,0.3,0.001,5.697921319441362,19,27
128,2,0.4,0.001,5.6991705894470215,19,27
32,4,0.3,0.001,5.700409152291038,20,28
64,5,0.3,0.0001,5.700813293457031,20,28
32,5,0.3,0.0015,5.700986472043124,28,36
32,5,0.3,0.001,5.70208757573908,28,36
32,4,0.3,0.0015,5.70290656523271,20,28
128,3,0.4,0.0001,5.703763961791992,22,30
128,3,0.5,0.0001,5.70392539284446,22,30
64,5,0.3,0.0015,5.704451214183461,20,28
128,3,0.5,0.001,5.709996136752042,22,30
128,3,0.3,0.001,5.710177898406982,16,24
64,5,0.4,0.0015,5.712233976884321,21,29
32,4,0.4,0.0001,5.714210423556241,20,28
64,5,0.4,0.001,5.715455185283314,21,29
128,2,0.3,0.0001,5.716086994517934,18,26
128,2,0.5,0.0015,5.7176360650496045,19,27
64,4,0.5,0.0015,5.71809213811701,22,30
64,2,0.3,0.0015,5.719210407950661,26,34
64,2,0.4,0.0015,5.719261126084761,26,34
32,5,0.4,0.001,5.720554741946134,36,44
64,4,0.4,0.001,5.7208919091658155,18,26
64,4,0.5,0.001,5.722909147089178,22,30
32,3,0.3,0.0015,5.723776427182284,32,40
32,5,0.3,0.0001,5.724360986189409,28,36
128,2,0.4,0.0001,5.724654674530029,16,24
32,5,0.4,0.0015,5.731367457996715,22,30
64,3,0.3,0.0015,5.733901674097234,19,27
64,2,0.3,0.001,5.73480714451183,26,34
32,5,0.4,0.0001,5.736011028289795,22,30
64,2,0.4,0.001,5.737844380465421,26,34
32,5,0.5,0.001,5.738147908991033,21,29
64,5,0.5,0.0015,5.741679018194025,12,20
32,4,0.5,0.0015,5.741689812053334,20,28
64,4,0.4,0.0001,5.744839191436768,9,17
64,5,0.4,0.0001,5.744976607235995,12,20
32,5,0.5,0.0015,5.7450903112238105,23,31
128,2,0.5,0.001,5.746055603027344,21,29
32,3,0.3,0.0001,5.746490088376132,17,25
64,3,0.3,0.0001,5.748366182500666,11,19
32,4,0.5,0.001,5.749947114424272,20,28
64,3,0.3,0.001,5.752554546702992,11,19
64,5,0.5,0.001,5.752793485468084,12,20
64,3,0.4,0.001,5.757136171514338,11,19
64,5,0.5,0.0001,5.763263268904253,10,18
128,2,0.5,0.0001,5.763779250058261,16,24
64,4,0.5,0.0001,5.7638444033536045,9,17
32,5,0.5,0.0001,5.765047160061923,18,26
32,3,0.4,0.0015,5.773239439184016,17,25
32,3,0.4,0.001,5.777852405201305,17,25
64,3,0.5,0.0015,5.779387820850719,11,19
64,3,0.4,0.0001,5.79058296030218,11,19
64,3,0.5,0.001,5.795125354420055,11,19
32,3,0.4,0.0001,5.79864467274059,17,25
32,3,0.5,0.0015,5.80014046755704,17,25
64,3,0.5,0.0001,5.801229216835716,11,19
32,4,0.5,0.0001,5.806102535941384,10,18
64,2,0.3,0.0001,5.816530791195956,8,16
32,3,0.5,0.001,5.822523810646751,10,18
32,3,0.5,0.0001,5.831836613741788,10,18
32,2,0.3,0.001,5.834105534987017,11,19
32,2,0.3,0.0001,5.84299338947643,11,19
32,2,0.3,0.0015,5.846388253298673,11,19
64,2,0.4,0.0001,5.85146747935902,8,16
64,2,0.5,0.0015,5.886023087935015,8,16
64,2,0.5,0.001,5.890057347037575,8,16
32,2,0.4,0.0015,5.897958885539662,11,19
32,2,0.4,0.0001,5.90095836466009,11,19
64,2,0.5,0.0001,5.905882922085849,7,15
32,2,0.4,0.001,5.90983434156938,11,19
32,2,0.5,0.0015,5.958329981023615,11,19
32,2,0.5,0.001,5.962011987512762,6,14
32,2,0.5,0.0001,5.972483981739391,6,14
