hidden_dim,num_layers,dropout,weight_decay,val_loss,best_epoch,epochs_run
64,4,0.1,1.5e-05,5.737163630398837,40,48
128,4,0.2,1.5e-05,5.755508206107399,49,57
64,4,0.2,1.5e-05,5.765218561345881,42,50
128,3,0.2,1.5e-05,5.781933177601207,37,45
64,2,0.3,1.5e-05,5.78693810376254,39,47
128,3,0.1,0.0001,5.787123246626421,46,54
64,4,0.3,1.5e-05,5.791081992062655,26,34
64,4,0.2,0.0001,5.793086051940918,37,45
64,4,0.1,0.0001,5.802236210216176,41,49
128,3,0.1,1.5e-05,5.8095223686911845,46,54
128,2,0.3,1.5e-05,5.81107234954834,41,49
128,3,0.2,0.0001,5.811493440107866,37,45
128,3,0.3,1.5e-05,5.81176098910245,42,50
64,3,0.3,0.0001,5.813961245796897,41,49
64,2,0.2,0.0001,5.8167829080061475,34,42
64,3,0.2,1.5e-05,5.816965233195912,41,49
128,4,0.3,1.5e-05,5.819351413033226,12,20
128,4,0.1,1.5e-05,5.821492541920055,14,22
64,3,0.1,0.0001,5.822174809195778,24,32
64,3,0.1,1.5e-05,5.823436650362882,38,46
64,2,0.1,1.5e-05,5.828695470636541,34,42
64,3,0.2,0.0001,5.835674892772328,24,32
64,3,0.1,0.001,5.836305011402477,79,87
128,2,0.2,0.0001,5.839480356736616,31,39
64,2,0.3,0.0001,5.841758381236684,34,42
64,3,0.3,1.5e-05,5.842068282040683,34,42
64,2,0.2,1.5e-05,5.846470659429377,59,67
128,2,0.1,0.0001,5.859157605604692,38,46
128,2,0.1,1.5e-05,5.867397308349609,21,29
128,2,0.3,0.001,5.869857051155784,44,52
128,2,0.3,0.0001,5.877287431196733,18,26
64,2,0.2,0.001,5.906085014343262,40,48
64,2,0.3,0.001,5.92386497150768,19,27
128,2,0.2,1.5e-05,5.955847306685015,11,19
64,2,0.1,0.0001,5.96140532060103,11,19
64,3,0.2,0.001,5.9640514200383965,12,20
64,4,0.2,0.001,5.964932224967263,10,18
64,2,0.1,0.001,5.97382150996815,12,20
64,4,0.3,0.0001,5.977142290635542,8,16
64,4,0.3,0.001,5.984109358354048,9,17
128,3,0.2,0.001,5.990263158624822,7,15
128,2,0.2,0.001,5.99130881916393,17,25
64,3,0.3,0.001,5.995401989329945,9,17
128,3,0.1,0.001,5.996064142747358,8,16
128,4,0.3,0.001,6.00968057459051,11,19
128,4,0.2,0.001,6.021557547829368,6,14
128,2,0.1,0.001,6.022251649336382,21,29
128,3,0.3,0.001,6.024346178228205,8,16
128,3,0.3,0.0001,6.051055257970637,5,13
128,4,0.1,0.001,6.053359335119074,14,22
64,4,0.1,0.001,6.054235718467019,8,16
128,4,0.1,0.0001,6.060480898076838,5,13
128,4,0.3,0.0001,6.070720499212092,7,15
128,4,0.2,0.0001,6.103593609549782,5,13
