hidden_dim,rep_dim,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,32,0.4,1e-05,5.898531653664329,11,19
128,32,0.5,1e-05,5.905051838267934,14,22
64,64,0.3,0.001,5.911737832156095,11,19
128,128,0.3,0.001,5.921789646148682,7,15
128,32,0.4,0.001,5.925298127261075,11,19
128,64,0.3,1e-05,5.926772247661244,11,19
128,32,0.4,0.0001,5.927085529674184,11,19
64,128,0.4,0.001,5.927146564830434,8,16
64,64,0.3,1e-05,5.928245414387096,11,19
64,128,0.3,0.0001,5.92918027531017,7,15
64,128,0.3,0.001,5.931562770496715,9,17
128,64,0.4,0.0001,5.9344635009765625,10,18
64,64,0.4,1e-05,5.934506503018466,10,18
128,128,0.3,0.0001,5.9361186461015185,7,15
128,128,0.4,1e-05,5.937228116122159,8,16
64,128,0.4,1e-05,5.9393627426841045,8,16
128,128,0.3,1e-05,5.94044134833596,7,15
128,64,0.4,1e-05,5.94090765172785,10,18
64,64,0.4,0.001,5.940933487632058,10,18
128,64,0.5,0.0001,5.941519433801824,13,21
128,128,0.4,0.0001,5.941852959719571,9,17
64,64,0.4,0.0001,5.941902464086359,9,17
128,64,0.5,0.001,5.942966027693315,13,21
64,64,0.5,0.0001,5.943703217939897,17,25
128,64,0.3,0.0001,5.943711194125089,10,18
128,128,0.5,1e-05,5.943904920057817,15,23
64,32,0.4,0.0001,5.945286143909801,9,17
64,64,0.5,0.001,5.945882450450551,12,20
128,128,0.5,0.0001,5.946046655828303,11,19
64,128,0.5,0.001,5.947713114998558,10,18
128,32,0.3,0.001,5.948680314150724,7,15
128,64,0.4,0.001,5.949545990337025,9,17
128,32,0.3,1e-05,5.951049111106179,11,19
64,64,0.3,0.0001,5.954578616402366,12,20
128,64,0.5,1e-05,5.956528360193426,11,19
128,128,0.4,0.001,5.962383356961337,7,15
128,32,0.5,0.001,5.963079279119318,11,19
128,32,0.3,0.0001,5.964170542630282,8,16
64,128,0.3,1e-05,5.964950171383944,10,18
128,128,0.5,0.001,5.965512839230624,14,22
64,32,0.3,1e-05,5.965989329598167,7,15
128,32,0.5,0.0001,5.966832767833363,14,22
64,64,0.5,1e-05,5.967355684800581,10,18
64,32,0.3,0.0001,5.969942309639671,9,17
64,32,0.4,0.001,5.970509789206765,7,15
64,128,0.5,0.0001,5.971768986095082,12,20
64,32,0.5,0.001,5.972221547907049,10,18
64,32,0.5,1e-05,5.976266427473589,16,24
128,64,0.3,0.001,5.976415504108775,7,15
64,128,0.5,1e-05,5.977942380038175,10,18
64,128,0.4,0.0001,5.982631033117121,8,16
64,32,0.3,0.001,5.983954776417125,7,15
64,32,0.5,0.0001,5.997096972032026,18,26
64,32,0.4,1e-05,6.0078043937683105,7,15
