model,task,metric,mean,ic 2.5%,ic 97.5%,pearson_r,pearson_r IC 2.5%,pearson_r IC 97.5%
MLP,DMT2,auc_roc,0.4952,0.435,0.5583,,,
MLP,sf36,rmse,8.8999,8.1956,9.6042,0.179,0.0711,0.2885
MLP,sedentary,rmse,1.2743,1.1503,1.3975,0.2293,0.1078,0.3416
MLP,bdi,rmse,7.3522,6.5043,8.4207,0.1604,0.0532,0.2674
MLP,mmse,rmse,1.9593,1.6871,2.2465,0.094,-0.0072,0.1877
MLP,chair_stand,rmse,5.8582,5.2762,6.4093,0.2201,0.1226,0.3184
CNN,DMT2,auc_roc,0.5685,0.504,0.6311,,,
CNN,sf36,rmse,8.6399,8.0227,9.3195,0.2791,0.1624,0.3868
CNN,sedentary,rmse,1.1927,1.0707,1.3185,0.4118,0.3086,0.5121
CNN,bdi,rmse,7.3302,6.4539,8.4072,0.1907,0.0844,0.3088
CNN,mmse,rmse,1.9391,1.6822,2.2069,0.1612,0.0534,0.2653
CNN,chair_stand,rmse,5.9271,5.3366,6.4899,0.2053,0.1056,0.3069
GRU,DMT2,auc_roc,0.565,0.5029,0.6316,,,
GRU,sf36,rmse,8.5534,7.8722,9.2495,0.3024,0.1889,0.4069
GRU,sedentary,rmse,1.2207,1.1071,1.3337,0.3607,0.2686,0.452
GRU,bdi,rmse,7.3087,6.4515,8.3635,0.1924,0.0856,0.3081
GRU,mmse,rmse,1.9643,1.6951,2.2509,0.0534,-0.0699,0.1845
GRU,chair_stand,rmse,5.925,5.3113,6.5085,0.1854,0.086,0.2964
