channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
32,4,0.4,0.0015,4.930556443751005,22,30
32,4,0.5,0.0015,4.955109357248067,22,30
32,8,0.3,0.0015,4.9575720688634775,24,32
128,12,0.3,0.001,4.958775928038051,19,27
64,8,0.4,0.0015,4.959333643573508,11,19
128,12,0.5,0.0015,4.9595219520737555,19,27
128,12,0.3,0.0015,4.960683438350293,19,27
64,8,0.4,0.001,4.963509723653957,11,19
32,8,0.3,0.001,4.965863439902041,22,30
32,4,0.4,0.001,4.966457685615858,22,30
64,8,0.4,0.0001,4.966698705124913,11,19
32,8,0.5,0.0015,4.96692536796926,29,37
32,4,0.3,0.001,4.967346846325099,22,30
32,8,0.4,0.001,4.967628085349643,15,23
64,5,0.4,0.0001,4.968017187985507,7,15
64,5,0.3,0.0001,4.968536495283722,7,15
64,8,0.3,0.001,4.968538913445625,11,19
128,12,0.5,0.001,4.968878965120058,16,24
32,4,0.3,0.0015,4.96953651184532,22,30
64,8,0.3,0.0015,4.969658358384116,11,19
32,3,0.3,0.001,4.970357947619014,20,28
32,8,0.5,0.001,4.970498178749178,24,32
32,8,0.4,0.0001,4.972944909876043,15,23
32,8,0.4,0.0015,4.9734140063386585,15,23
128,8,0.5,0.001,4.973663310161093,17,25
64,8,0.5,0.0015,4.974622127757904,11,19
64,8,0.5,0.0001,4.9747680036090225,12,20
128,8,0.3,0.0001,4.975071398573367,17,25
64,8,0.5,0.001,4.975687507329467,12,20
32,3,0.3,0.0015,4.975948659442274,20,28
128,8,0.5,0.0015,4.975987639415469,17,25
128,12,0.3,0.0001,4.97692532269902,19,27
128,12,0.4,0.001,4.977236693848556,14,22
32,3,0.4,0.001,4.977752798019521,20,28
32,3,0.4,0.0015,4.977838854824881,20,28
64,5,0.3,0.001,4.978324081739571,7,15
128,12,0.4,0.0015,4.979460642437385,16,24
64,5,0.3,0.0015,4.979623348179848,7,15
32,12,0.4,0.0015,4.979976669283405,21,29
128,8,0.3,0.0015,4.980309048214474,11,19
64,12,0.5,0.0015,4.980588740740127,23,31
128,8,0.5,0.0001,4.980770781233504,17,25
64,2,0.3,0.0015,4.981212026656992,15,23
64,12,0.3,0.0015,4.9815591465343125,23,31
128,5,0.4,0.0001,4.98175421979562,7,15
64,5,0.5,0.0001,4.981997283729347,7,15
128,8,0.4,0.001,4.982131195302677,11,19
64,8,0.3,0.0001,4.982247404150061,12,20
128,5,0.3,0.0015,4.982279381529412,14,22
32,24,0.5,0.0001,4.982292723597121,17,25
128,8,0.4,0.0015,4.982427324065412,11,19
32,24,0.5,0.001,4.982723628566657,17,25
64,24,0.4,0.001,4.982939559645969,19,27
64,24,0.5,0.001,4.98360487869975,19,27
32,12,0.3,0.001,4.983795793987902,24,32
64,5,0.4,0.001,4.983938694000244,7,15
128,12,0.4,0.0001,4.98401300795834,14,22
32,8,0.3,0.0001,4.985691026036218,15,23
32,12,0.5,0.0001,4.985719886985985,14,22
64,12,0.5,0.001,4.985778692606333,22,30
128,5,0.4,0.001,4.986228689807639,19,27
128,5,0.5,0.0015,4.98650464378938,19,27
64,2,0.3,0.001,4.986585607692709,15,23
32,12,0.4,0.001,4.987148498141502,24,32
64,5,0.4,0.0015,4.987212592319423,7,15
128,5,0.4,0.0015,4.98753461439428,14,22
128,5,0.3,0.0001,4.9880867976814285,7,15
32,24,0.5,0.0015,4.988100901282683,17,25
32,12,0.3,0.0015,4.988734889674831,24,32
32,8,0.5,0.0001,4.989200039050503,15,23
128,12,0.5,0.0001,4.989442637862972,14,22
128,3,0.3,0.0015,4.990222773915134,21,29
128,8,0.3,0.001,4.9912965069238915,6,14
32,12,0.5,0.001,4.991354768926447,14,22
64,5,0.5,0.001,4.9916072665034115,7,15
128,3,0.4,0.001,4.991708099402725,20,28
32,3,0.3,0.0001,4.992309371142189,16,24
32,4,0.5,0.001,4.9923858056783095,22,30
