hidden_dim,num_layers,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,3,0.2,0.0001,4.9715289964136975,48,56
64,2,0.1,1.5e-05,4.977264708324498,34,42
64,4,0.2,0.0001,4.978748504301254,49,57
64,2,0.2,1.5e-05,4.9815856807062024,33,41
64,2,0.1,0.0001,4.985843949001603,33,41
64,2,0.3,1.5e-05,4.988091323533866,33,41
64,4,0.1,1.5e-05,4.990219228683584,44,52
64,2,0.2,0.0001,4.995646919020857,34,42
128,2,0.1,0.0001,5.000368451017713,37,45
64,3,0.1,1.5e-05,5.000867426541865,41,49
64,3,0.1,0.0001,5.004605454953356,40,48
64,4,0.3,0.0001,5.006323508607082,43,51
64,2,0.3,0.0001,5.007083023502434,30,38
64,5,0.3,1.5e-05,5.009352201325887,46,54
64,3,0.3,0.0001,5.009648085226298,49,57
64,3,0.3,1.5e-05,5.013954518761038,34,42
64,3,0.2,0.0001,5.01488327452826,35,43
64,4,0.1,0.0001,5.015642327817125,40,48
64,5,0.1,1.5e-05,5.01957165814149,44,52
128,2,0.3,0.0001,5.02434948094061,37,45
128,3,0.2,1.5e-05,5.0290365453434225,31,39
128,2,0.3,1.5e-05,5.040328101971226,28,36
128,4,0.2,0.0001,5.042791269335173,43,51
128,4,0.3,1.5e-05,5.045625117252734,28,36
128,2,0.2,1.5e-05,5.046220322498819,27,35
64,3,0.2,1.5e-05,5.048299874954786,25,33
64,4,0.3,1.5e-05,5.048957149871152,44,52
128,3,0.1,0.0001,5.050331956924326,39,47
128,4,0.1,0.0001,5.053255655255891,39,47
64,3,0.2,0.001,5.053693314442178,77,85
128,5,0.1,1.5e-05,5.054532887601735,48,56
128,2,0.1,1.5e-05,5.056062186379398,31,39
64,5,0.1,0.0001,5.059375496988507,21,29
64,6,0.2,1.5e-05,5.060236031065995,43,51
64,2,0.2,0.001,5.061811328812958,37,45
128,2,0.2,0.0001,5.062305411776981,37,45
128,4,0.2,1.5e-05,5.065921976759627,40,48
64,4,0.2,1.5e-05,5.067655993328048,32,40
64,5,0.2,0.0001,5.068732504176859,21,29
128,4,0.1,1.5e-05,5.070212374741088,39,47
64,2,0.3,0.001,5.071280368130096,51,59
128,3,0.3,1.5e-05,5.071411411065141,37,45
128,6,0.3,1.5e-05,5.073589339010253,26,34
128,3,0.3,0.0001,5.076885284311356,38,46
64,2,0.1,0.001,5.086875660120708,51,59
128,3,0.1,1.5e-05,5.096090053164695,32,40
64,6,0.1,1.5e-05,5.106426509650978,47,55
128,4,0.3,0.0001,5.116698519310729,16,24
64,6,0.2,0.0001,5.122396245342507,23,31
128,5,0.2,1.5e-05,5.123182397509676,20,28
64,5,0.2,1.5e-05,5.124623011605452,14,22
128,5,0.3,0.0001,5.134440180710551,20,28
128,2,0.3,0.001,5.137488185920059,33,41
128,2,0.2,0.001,5.139930220142336,36,44
128,6,0.3,0.0001,5.144475341721893,34,42
64,6,0.3,0.0001,5.20635023398247,13,21
128,3,0.3,0.001,5.208967652894941,33,41
64,5,0.3,0.0001,5.2179491057149905,16,24
128,5,0.1,0.001,5.2267389531803365,19,27
64,4,0.1,0.001,5.2418493275560385,11,19
128,4,0.1,0.001,5.244108890139793,11,19
64,6,0.2,0.001,5.246334750763614,14,22
64,5,0.3,0.001,5.250138254657717,5,13
64,3,0.3,0.001,5.252415225898312,11,19
128,5,0.2,0.001,5.255845218677193,9,17
128,2,0.1,0.001,5.255861992332215,9,17
64,6,0.1,0.001,5.25687499362655,6,14
64,4,0.3,0.001,5.257104487032504,7,15
128,5,0.3,1.5e-05,5.258180321873845,3,11
64,6,0.3,0.001,5.258275813494033,6,14
128,4,0.2,0.001,5.259010303225506,5,13
128,6,0.2,0.001,5.259414815785551,21,29
128,5,0.2,0.0001,5.264481252768702,21,29
128,3,0.1,0.001,5.266422909073514,10,18
64,6,0.1,0.0001,5.2679615864296805,6,14
128,6,0.1,0.0001,5.275398956176983,6,14
64,5,0.1,0.001,5.2778420260848815,11,19
128,6,0.1,0.001,5.280873624347059,11,19
64,5,0.2,0.001,5.283717488188123,13,21
64,4,0.2,0.001,5.285015621700802,17,25
64,6,0.3,1.5e-05,5.285742635516042,4,12
128,4,0.3,0.001,5.28707285185118,4,12
128,5,0.3,0.001,5.289292827578083,4,12
128,6,0.2,0.0001,5.290917077872911,4,12
128,3,0.2,0.001,5.295031737343978,5,13
64,3,0.1,0.001,5.298144335828776,4,12
128,5,0.1,0.0001,5.306327374619992,3,11
128,6,0.2,1.5e-05,5.309772913227503,4,12
128,6,0.1,1.5e-05,5.3285187550200295,3,11
128,6,0.3,0.001,5.352973975479164,15,23
