hidden_dim,rep_dim,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,32,0.4,0.0001,5.087790947288495,9,17
128,32,0.5,0.001,5.090761045273164,18,26
64,128,0.3,0.0001,5.103373302581562,18,26
64,128,0.4,0.0001,5.103814340633608,21,29
128,64,0.4,0.0001,5.105849793267777,11,19
128,32,0.3,1e-05,5.107174516017079,9,17
64,128,0.4,0.001,5.108246037063786,13,21
128,128,0.4,0.001,5.110410342345366,6,14
64,64,0.4,0.001,5.110709171623212,15,23
128,32,0.5,0.0001,5.11131341451509,13,21
128,128,0.3,0.0001,5.115649068677747,6,14
128,128,0.4,0.0001,5.116046788358571,13,21
128,32,0.4,0.001,5.116740844173572,8,16
128,64,0.3,1e-05,5.117004278543833,8,16
64,64,0.3,0.0001,5.1170701172193676,7,15
128,128,0.5,0.001,5.117283223595022,17,25
128,128,0.5,1e-05,5.117859147983335,13,21
128,128,0.5,0.0001,5.1184238110479034,17,25
128,32,0.4,1e-05,5.120476452079979,13,21
64,32,0.4,0.001,5.1209788252153325,13,21
64,128,0.5,0.0001,5.12216449193931,18,26
128,64,0.3,0.001,5.122529375465262,8,16
64,32,0.5,0.001,5.122656555082054,16,24
128,64,0.4,1e-05,5.123591752251477,18,26
64,128,0.4,1e-05,5.125224678170769,15,23
128,128,0.4,1e-05,5.125898897794307,11,19
128,32,0.3,0.0001,5.126363415682931,8,16
64,32,0.4,0.0001,5.126858596426849,16,24
64,64,0.4,0.0001,5.127696180226469,6,14
128,64,0.5,0.001,5.127822720155083,11,19
128,32,0.5,1e-05,5.1281585259871045,13,21
64,128,0.3,1e-05,5.130230212387348,13,21
128,64,0.5,1e-05,5.1306014881087165,11,19
128,64,0.5,0.0001,5.13108830604272,11,19
64,32,0.4,1e-05,5.133686014123865,13,21
64,64,0.3,1e-05,5.135090221058238,7,15
128,64,0.3,0.0001,5.136299128614421,9,17
64,32,0.5,0.0001,5.136969177377312,24,32
64,32,0.5,1e-05,5.137524096327273,16,24
64,64,0.5,1e-05,5.1380439449001,16,24
64,64,0.5,0.001,5.138446417721835,13,21
64,64,0.3,0.001,5.140840640524974,7,15
128,32,0.3,0.001,5.142161166638648,11,19
128,128,0.3,0.001,5.145113301804376,13,21
64,64,0.5,0.0001,5.14514667220432,16,24
64,64,0.4,1e-05,5.1471792638155405,7,15
64,128,0.5,0.001,5.1474835398156165,6,14
128,64,0.4,0.001,5.151643660496142,11,19
64,128,0.3,0.001,5.15449857360315,7,15
64,128,0.5,1e-05,5.155635710723277,17,25
128,128,0.3,1e-05,5.160324895704115,6,14
64,32,0.3,0.001,5.160450968168291,14,22
64,32,0.3,0.0001,5.163152329166047,12,20
64,32,0.3,1e-05,5.172878396598947,9,17
