model,task,metric,mean,ic 2.5%,ic 97.5%,pearson_r,pearson_r IC 2.5%,pearson_r IC 97.5%
MLP,DMT2,auc_roc,0.5455,0.4837,0.6043,,,
MLP,sf36,rmse,8.8423,8.2261,9.4449,0.2677,0.1595,0.3668
MLP,sedentary,rmse,1.3316,1.2169,1.4343,0.318,0.2394,0.3996
MLP,bdi,rmse,7.0599,6.4128,7.8388,0.1881,0.0811,0.2903
MLP,mmse,rmse,2.125,1.9093,2.3349,0.0589,-0.0343,0.1554
MLP,chair_stand,rmse,5.3766,4.9684,5.7742,0.2962,0.204,0.383
CNN,DMT2,auc_roc,0.5441,0.4804,0.608,,,
CNN,sf36,rmse,8.8441,8.1622,9.4855,0.2893,0.1762,0.403
CNN,sedentary,rmse,1.2983,1.2117,1.3803,0.417,0.3441,0.4885
CNN,bdi,rmse,7.0703,6.4742,7.8274,0.1968,0.0751,0.3132
CNN,mmse,rmse,2.1162,1.8995,2.3337,0.112,0.0131,0.2158
CNN,chair_stand,rmse,5.3812,4.9951,5.7688,0.3057,0.2128,0.3907
GRU,DMT2,auc_roc,0.5373,0.4755,0.5976,,,
GRU,sf36,rmse,8.7313,8.0422,9.3862,0.313,0.1947,0.4309
GRU,sedentary,rmse,1.2872,1.1947,1.3748,0.423,0.3483,0.4944
GRU,bdi,rmse,7.034,6.3779,7.8261,0.2098,0.1025,0.3206
GRU,mmse,rmse,2.1176,1.9041,2.3328,0.0893,-0.0015,0.1826
GRU,chair_stand,rmse,5.3982,4.9831,5.8074,0.2856,0.1791,0.3793
