#,Descriptor,Mean,SD,Min,Max
1,ENMO_mean,0.02490214557470405,0.02649730786823385,1.388888888888889e-06,1.0283168055555556
2,ENMO_sd,0.027976553361351554,0.023485092972761024,1.1711121345059494e-05,1.0030468681338562
3,ENMO_p50,0.016480620771832714,0.023612579997235,0.0,1.1772
4,ENMO_p85,0.04551262484624843,0.04913313102847914,0.0,1.9312299999999998
5,ENMO_p90,0.05570180039755757,0.05686302202978414,0.0,2.31741
6,ENMO_p95,0.07395497879327004,0.07004490402387803,0.0,2.690055
7,SIB,0.31076556483428625,0.3745334183909743,0.0,1.0
8,bed,0.33706326834600125,0.4579670068997673,0.0,1.0
9,sleep,0.2591599773691188,0.4086248490947012,0.0,1.0
10,steps,782.3447485931339,5865.1301302697575,-127522.5,216484.9
11,ENMO050,0.13731737809384564,0.18405834016582928,0.0,1.0
12,ENMO100,0.042080332877502666,0.09760371024728512,0.0,1.0
13,ENMO200,0.005742921420827312,0.03554248840660811,0.0,1.0
14,ENMO300,0.0015059358576919126,0.0168165479925174,0.0,0.9833333333333333
